"Avg_Utilization_Ratio","Attrition_Flag"
0.061,Existing Customer
0.105,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.311,Existing Customer
0.113,Existing Customer
0.144,Existing Customer
0.0,Existing Customer
0.279,Existing Customer
0.078,Existing Customer
0.788,Existing Customer
0.086,Existing Customer
0.0,Attrited Customer
0.152,Existing Customer
0.215,Existing Customer
0.285,Existing Customer
0.69,Existing Customer
0.282,Existing Customer
0.562,Existing Customer
0.135,Existing Customer
0.544,Existing Customer
0.757,Existing Customer
0.0,Existing Customer
0.018,Existing Customer
0.145,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.626,Existing Customer
0.793,Existing Customer
0.074,Existing Customer
0.259,Existing Customer
0.562,Attrited Customer
0.687,Existing Customer
0.0,Attrited Customer
0.843,Existing Customer
0.422,Existing Customer
0.525,Existing Customer
0.0,Attrited Customer
0.211,Existing Customer
0.088,Existing Customer
0.111,Existing Customer
0.044,Existing Customer
0.276,Existing Customer
0.704,Existing Customer
0.656,Existing Customer
0.053,Existing Customer
0.051,Existing Customer
0.467,Existing Customer
0.067,Existing Customer
0.079,Existing Customer
0.287,Existing Customer
0.36,Existing Customer
0.256,Existing Customer
0.719,Existing Customer
0.066,Existing Customer
0.198,Existing Customer
0.035,Existing Customer
0.619,Existing Customer
0.108,Existing Customer
0.0,Existing Customer
0.066,Existing Customer
0.0,Existing Customer
0.062,Existing Customer
0.0,Existing Customer
0.765,Existing Customer
0.524,Existing Customer
0.347,Existing Customer
0.45,Existing Customer
0.232,Existing Customer
0.43,Existing Customer
0.62,Existing Customer
0.111,Existing Customer
0.027,Existing Customer
0.169,Existing Customer
0.223,Existing Customer
0.513,Existing Customer
0.473,Existing Customer
0.095,Existing Customer
0.047,Existing Customer
0.156,Existing Customer
0.05,Existing Customer
0.355,Existing Customer
0.03,Existing Customer
0.615,Existing Customer
0.15,Existing Customer
0.407,Existing Customer
0.044,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.191,Attrited Customer
0.096,Existing Customer
0.83,Existing Customer
0.086,Existing Customer
0.678,Existing Customer
0.246,Existing Customer
0.067,Existing Customer
0.271,Existing Customer
0.114,Existing Customer
0.406,Existing Customer
0.0,Attrited Customer
0.169,Existing Customer
0.178,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.941,Existing Customer
0.141,Existing Customer
0.118,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.64,Existing Customer
0.432,Existing Customer
0.0,Existing Customer
0.066,Existing Customer
0.612,Existing Customer
0.359,Existing Customer
0.101,Existing Customer
0.512,Existing Customer
0.806,Existing Customer
0.463,Existing Customer
0.77,Existing Customer
0.076,Attrited Customer
0.0,Existing Customer
0.133,Existing Customer
0.037,Existing Customer
0.146,Existing Customer
0.171,Existing Customer
0.069,Existing Customer
0.837,Existing Customer
0.055,Existing Customer
0.294,Existing Customer
0.39,Existing Customer
0.19,Existing Customer
0.692,Existing Customer
0.503,Existing Customer
0.059,Existing Customer
0.074,Existing Customer
0.513,Existing Customer
0.174,Existing Customer
0.135,Existing Customer
0.251,Existing Customer
0.078,Existing Customer
0.463,Existing Customer
0.133,Existing Customer
0.087,Existing Customer
0.626,Attrited Customer
0.214,Existing Customer
0.176,Existing Customer
0.133,Existing Customer
0.049,Existing Customer
0.043,Existing Customer
0.15,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.679,Existing Customer
0.098,Existing Customer
0.694,Existing Customer
0.199,Existing Customer
0.22,Existing Customer
0.13,Existing Customer
0.76,Existing Customer
0.202,Existing Customer
0.035,Existing Customer
0.165,Existing Customer
0.665,Existing Customer
0.598,Existing Customer
0.539,Existing Customer
0.472,Existing Customer
0.064,Existing Customer
0.0,Existing Customer
0.16,Existing Customer
0.42,Existing Customer
0.048,Existing Customer
0.713,Attrited Customer
0.336,Existing Customer
0.092,Existing Customer
0.666,Existing Customer
0.147,Existing Customer
0.987,Attrited Customer
0.11,Existing Customer
0.28,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.65,Existing Customer
0.355,Existing Customer
0.0,Attrited Customer
0.072,Existing Customer
0.327,Existing Customer
0.459,Existing Customer
0.252,Existing Customer
0.291,Attrited Customer
0.46,Existing Customer
0.489,Existing Customer
0.482,Existing Customer
0.24,Existing Customer
0.197,Existing Customer
0.0,Attrited Customer
0.152,Existing Customer
0.317,Existing Customer
0.0,Attrited Customer
0.626,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.162,Existing Customer
0.196,Existing Customer
0.734,Existing Customer
0.0,Attrited Customer
0.446,Existing Customer
0.14,Existing Customer
0.262,Existing Customer
0.042,Existing Customer
0.308,Existing Customer
0.68,Existing Customer
0.238,Existing Customer
0.0,Attrited Customer
0.753,Existing Customer
0.117,Existing Customer
0.102,Existing Customer
0.078,Existing Customer
0.255,Existing Customer
0.716,Existing Customer
0.609,Existing Customer
0.15,Existing Customer
0.154,Existing Customer
0.605,Existing Customer
0.275,Existing Customer
0.06,Existing Customer
0.162,Existing Customer
0.07,Existing Customer
0.094,Existing Customer
0.0,Existing Customer
0.256,Existing Customer
0.186,Existing Customer
0.648,Existing Customer
0.0,Existing Customer
0.806,Existing Customer
0.167,Attrited Customer
0.412,Existing Customer
0.732,Existing Customer
0.123,Existing Customer
0.221,Existing Customer
0.0,Existing Customer
0.2,Existing Customer
0.063,Existing Customer
0.771,Existing Customer
0.224,Existing Customer
0.795,Existing Customer
0.316,Existing Customer
0.447,Existing Customer
0.625,Existing Customer
0.514,Existing Customer
0.049,Existing Customer
0.557,Existing Customer
0.955,Existing Customer
0.846,Existing Customer
0.756,Existing Customer
0.31,Existing Customer
0.2,Existing Customer
0.62,Existing Customer
0.373,Attrited Customer
0.105,Existing Customer
0.0,Existing Customer
0.935,Existing Customer
0.155,Existing Customer
0.111,Existing Customer
0.435,Existing Customer
0.932,Existing Customer
0.829,Existing Customer
0.463,Existing Customer
0.0,Existing Customer
0.953,Existing Customer
0.07,Existing Customer
0.188,Existing Customer
0.135,Existing Customer
0.063,Existing Customer
0.0,Existing Customer
0.82,Existing Customer
0.066,Existing Customer
0.616,Existing Customer
0.0,Existing Customer
0.595,Existing Customer
0.521,Existing Customer
0.268,Existing Customer
0.09,Existing Customer
0.035,Existing Customer
0.405,Existing Customer
0.885,Existing Customer
0.546,Existing Customer
0.569,Existing Customer
0.648,Existing Customer
0.08,Existing Customer
0.047,Existing Customer
0.183,Existing Customer
0.639,Existing Customer
0.329,Existing Customer
0.678,Existing Customer
0.162,Existing Customer
0.161,Existing Customer
0.73,Existing Customer
0.183,Existing Customer
0.512,Existing Customer
0.134,Existing Customer
0.692,Existing Customer
0.162,Existing Customer
0.03,Existing Customer
0.587,Existing Customer
0.478,Existing Customer
0.361,Attrited Customer
0.0,Existing Customer
0.07,Existing Customer
0.312,Existing Customer
0.0,Attrited Customer
0.036,Existing Customer
0.0,Existing Customer
0.539,Existing Customer
0.36,Existing Customer
0.15,Existing Customer
0.077,Existing Customer
0.243,Existing Customer
0.867,Attrited Customer
0.168,Existing Customer
0.0,Attrited Customer
0.103,Existing Customer
0.0,Existing Customer
0.19,Existing Customer
0.179,Existing Customer
0.145,Existing Customer
0.093,Attrited Customer
0.064,Existing Customer
0.0,Existing Customer
0.087,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.706,Existing Customer
0.146,Existing Customer
0.075,Existing Customer
0.309,Existing Customer
0.202,Existing Customer
0.708,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.766,Attrited Customer
0.0,Existing Customer
0.039,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.0,Attrited Customer
0.053,Existing Customer
0.381,Existing Customer
0.312,Existing Customer
0.046,Existing Customer
0.529,Existing Customer
0.428,Existing Customer
0.036,Existing Customer
0.147,Existing Customer
0.85,Attrited Customer
0.517,Existing Customer
0.72,Existing Customer
0.056,Existing Customer
0.0,Attrited Customer
0.548,Existing Customer
0.0,Attrited Customer
0.436,Existing Customer
0.82,Existing Customer
0.0,Existing Customer
0.046,Existing Customer
0.201,Existing Customer
0.039,Existing Customer
0.523,Existing Customer
0.081,Existing Customer
0.403,Existing Customer
0.171,Existing Customer
0.176,Existing Customer
0.671,Existing Customer
0.0,Existing Customer
0.044,Existing Customer
0.079,Existing Customer
0.0,Existing Customer
0.752,Existing Customer
0.194,Existing Customer
0.221,Existing Customer
0.476,Existing Customer
0.048,Existing Customer
0.179,Existing Customer
0.911,Existing Customer
0.06,Existing Customer
0.78,Existing Customer
0.35,Existing Customer
0.636,Existing Customer
0.632,Existing Customer
0.0,Existing Customer
0.24,Existing Customer
0.698,Existing Customer
0.877,Existing Customer
0.255,Existing Customer
0.226,Existing Customer
0.78,Existing Customer
0.781,Existing Customer
0.148,Attrited Customer
0.061,Existing Customer
0.029,Existing Customer
0.0,Existing Customer
0.12,Existing Customer
0.076,Existing Customer
0.169,Existing Customer
0.514,Existing Customer
0.108,Existing Customer
0.257,Existing Customer
0.231,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.197,Existing Customer
0.061,Existing Customer
0.617,Existing Customer
0.458,Existing Customer
0.0,Existing Customer
0.142,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.054,Existing Customer
0.374,Existing Customer
0.051,Existing Customer
0.0,Existing Customer
0.0,Attrited Customer
0.491,Existing Customer
0.719,Existing Customer
0.216,Existing Customer
0.244,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.572,Existing Customer
0.32,Existing Customer
0.056,Existing Customer
0.099,Existing Customer
0.178,Existing Customer
0.0,Existing Customer
0.214,Existing Customer
0.036,Existing Customer
0.482,Existing Customer
0.314,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.393,Existing Customer
0.666,Existing Customer
0.599,Existing Customer
0.063,Existing Customer
0.663,Existing Customer
0.258,Existing Customer
0.159,Existing Customer
0.077,Existing Customer
0.185,Existing Customer
0.0,Attrited Customer
0.0,Attrited Customer
0.0,Existing Customer
0.0,Attrited Customer
0.059,Existing Customer
0.371,Existing Customer
0.275,Existing Customer
0.506,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.07,Existing Customer
0.128,Existing Customer
0.051,Existing Customer
0.09,Existing Customer
0.178,Existing Customer
0.333,Existing Customer
0.125,Existing Customer
0.091,Existing Customer
0.53,Existing Customer
0.303,Existing Customer
0.682,Existing Customer
0.456,Existing Customer
0.102,Existing Customer
0.0,Attrited Customer
0.0,Existing Customer
0.0,Attrited Customer
0.128,Existing Customer
0.0,Existing Customer
0.51,Existing Customer
0.221,Existing Customer
0.819,Existing Customer
0.061,Existing Customer
0.0,Existing Customer
0.217,Existing Customer
0.171,Existing Customer
0.046,Attrited Customer
0.81,Existing Customer
0.788,Existing Customer
0.189,Existing Customer
0.153,Existing Customer
0.202,Existing Customer
0.403,Existing Customer
0.213,Attrited Customer
0.037,Existing Customer
0.068,Existing Customer
0.033,Attrited Customer
0.285,Existing Customer
0.271,Existing Customer
0.798,Existing Customer
0.456,Existing Customer
0.261,Attrited Customer
0.41,Existing Customer
0.712,Existing Customer
0.062,Existing Customer
0.0,Existing Customer
0.35,Existing Customer
0.0,Existing Customer
0.073,Existing Customer
0.0,Existing Customer
0.0,Existing Customer
0.515,Existing Customer
0.037,Existing Customer
0.101,Existing Customer
0.757,Existing Customer
0.0,Attrited Customer
0.286,Existing Customer
0.457,Existing Customer
0.0,Existing Customer
0.05,Existing Customer
0.654,Existing Customer
0.371,Existing Customer
0.692,Existing Customer
0.0,Existing Customer
0.122,Existing Customer
0.345,Existing Customer
0.051,Existing Customer
0.825,Attrited Customer
0.1,Existing Customer
0.206,Attrited Customer
0.976,Existing Customer
0.0,Existing Customer
0.347,Existing Customer
0.292,Existing Customer
0.139,Existing Customer
0.0,Existing Customer
0.278,Existing Customer
0.227,Existing Customer
0.127,Existing Customer
0.324,Existing Customer
0.745,Existing Customer
0.402,Existing Customer
0.226,Existing Customer
0.142,Existing Customer
0.259,Existing Customer
0.397,Existing Customer
