"Credit_Limit","Attrition_Flag"
12691,Existing Customer
8256,Existing Customer
3418,Existing Customer
4716,Existing Customer
4010,Existing Customer
22352,Existing Customer
11656,Existing Customer
11751,Existing Customer
2436,Existing Customer
30367,Existing Customer
3193,Existing Customer
20979,Existing Customer
1438,Attrited Customer
4470,Existing Customer
7768,Existing Customer
4785,Existing Customer
2451,Existing Customer
8923,Existing Customer
2650,Existing Customer
12555,Existing Customer
3520,Existing Customer
3035,Existing Customer
15433,Existing Customer
32426,Existing Customer
17304,Existing Customer
3906,Existing Customer
34516,Existing Customer
2283,Existing Customer
2548,Existing Customer
19458,Existing Customer
4745,Existing Customer
1438,Attrited Customer
3171,Existing Customer
15769,Attrited Customer
2802,Existing Customer
4458,Existing Customer
3336,Existing Customer
34516,Attrited Customer
5926,Existing Customer
23957,Existing Customer
14734,Existing Customer
34516,Existing Customer
6584,Existing Customer
2084,Existing Customer
1687,Existing Customer
25300,Existing Customer
34516,Existing Customer
2216,Existing Customer
22913,Existing Customer
24312,Existing Customer
5272,Existing Customer
7000,Existing Customer
7038,Existing Customer
2536,Existing Customer
28904,Existing Customer
8567,Existing Customer
34516,Existing Customer
3085,Existing Customer
19040,Existing Customer
4026,Existing Customer
12756,Existing Customer
9930,Existing Customer
31302,Existing Customer
6576,Existing Customer
2664,Existing Customer
1709,Existing Customer
3454,Existing Customer
3789,Existing Customer
9689,Existing Customer
2940,Existing Customer
3031,Existing Customer
8358,Existing Customer
34516,Existing Customer
14450,Existing Customer
8466,Existing Customer
3263,Existing Customer
1494,Existing Customer
13551,Existing Customer
18886,Existing Customer
9964,Existing Customer
24159,Existing Customer
5362,Existing Customer
34516,Existing Customer
3174,Existing Customer
12262,Existing Customer
3788,Existing Customer
34516,Existing Customer
2926,Existing Customer
32090,Existing Customer
11669,Attrited Customer
13532,Existing Customer
2393,Existing Customer
19270,Existing Customer
3710,Existing Customer
3235,Existing Customer
11749,Existing Customer
7753,Existing Customer
10408,Existing Customer
6205,Existing Customer
8025,Attrited Customer
14926,Existing Customer
6335,Existing Customer
14979,Attrited Customer
2732,Attrited Customer
2250,Existing Customer
10916,Existing Customer
9366,Existing Customer
21617,Existing Customer
18386,Existing Customer
2405,Existing Customer
2154,Existing Customer
8135,Existing Customer
9364,Existing Customer
3195,Existing Customer
2852,Existing Customer
20459,Existing Customer
3065,Existing Customer
2185,Existing Customer
1611,Existing Customer
2822,Existing Customer
32975,Attrited Customer
1438,Existing Customer
6703,Existing Customer
34516,Existing Customer
9797,Existing Customer
10400,Existing Customer
26792,Existing Customer
3006,Existing Customer
19482,Existing Customer
3356,Existing Customer
5771,Existing Customer
11106,Existing Customer
2890,Existing Customer
3380,Existing Customer
21331,Existing Customer
6278,Existing Customer
1438,Existing Customer
9355,Existing Customer
14612,Existing Customer
6347,Existing Customer
21592,Existing Customer
3449,Existing Customer
6028,Existing Customer
16393,Existing Customer
1438,Attrited Customer
7871,Existing Customer
11376,Existing Customer
12302,Existing Customer
34516,Existing Customer
34516,Existing Customer
10514,Existing Customer
1438,Attrited Customer
1438,Attrited Customer
2619,Existing Customer
24407,Existing Customer
2377,Existing Customer
11086,Existing Customer
11432,Existing Customer
13258,Existing Customer
2571,Existing Customer
5781,Existing Customer
34516,Existing Customer
11127,Existing Customer
1913,Existing Customer
3839,Existing Customer
2115,Existing Customer
1438,Existing Customer
27756,Existing Customer
1438,Existing Customer
13878,Existing Customer
3106,Existing Customer
34516,Existing Customer
1438,Attrited Customer
5207,Existing Customer
17965,Existing Customer
2733,Existing Customer
8863,Existing Customer
1857,Attrited Customer
11107,Existing Customer
5269,Existing Customer
1438,Attrited Customer
3387,Attrited Customer
1982,Existing Customer
4645,Existing Customer
2442,Attrited Customer
