"Total_Revolving_Bal","Attrition_Flag"
777,Existing Customer
864,Existing Customer
0,Existing Customer
0,Existing Customer
1247,Existing Customer
2517,Existing Customer
1677,Existing Customer
0,Existing Customer
680,Existing Customer
2362,Existing Customer
2517,Existing Customer
1800,Existing Customer
0,Attrited Customer
680,Existing Customer
1669,Existing Customer
1362,Existing Customer
1690,Existing Customer
2517,Existing Customer
1490,Existing Customer
1696,Existing Customer
1914,Existing Customer
2298,Existing Customer
0,Existing Customer
578,Existing Customer
2517,Existing Customer
0,Existing Customer
0,Existing Customer
1430,Existing Customer
2020,Existing Customer
1435,Existing Customer
1227,Existing Customer
808,Attrited Customer
2179,Existing Customer
0,Attrited Customer
2363,Existing Customer
1880,Existing Customer
1753,Existing Customer
0,Attrited Customer
1251,Existing Customer
2102,Existing Customer
1634,Existing Customer
1515,Existing Customer
1817,Existing Customer
1468,Existing Customer
1107,Existing Customer
1330,Existing Customer
1763,Existing Customer
1034,Existing Customer
1528,Existing Customer
1932,Existing Customer
1515,Existing Customer
2517,Existing Customer
1801,Existing Customer
1823,Existing Customer
1899,Existing Customer
1695,Existing Customer
1219,Existing Customer
1910,Existing Customer
2056,Existing Customer
0,Existing Customer
837,Existing Customer
0,Existing Customer
1953,Existing Customer
0,Existing Customer
2037,Existing Customer
895,Existing Customer
1200,Existing Customer
1706,Existing Customer
2250,Existing Customer
1264,Existing Customer
1879,Existing Customer
926,Existing Customer
931,Existing Customer
2440,Existing Customer
1886,Existing Customer
1674,Existing Customer
706,Existing Customer
1294,Existing Customer
895,Existing Customer
1559,Existing Customer
1196,Existing Customer
1901,Existing Customer
1023,Existing Customer
1951,Existing Customer
1836,Existing Customer
1540,Existing Customer
1527,Existing Customer
0,Existing Customer
0,Existing Customer
2227,Attrited Customer
1300,Existing Customer
1985,Existing Customer
1662,Existing Customer
2517,Existing Customer
797,Existing Customer
788,Existing Customer
2100,Existing Customer
1186,Existing Customer
2517,Existing Customer
0,Attrited Customer
2517,Existing Customer
1128,Existing Customer
0,Attrited Customer
0,Attrited Customer
2117,Existing Customer
1536,Existing Customer
1104,Existing Customer
0,Existing Customer
0,Existing Customer
1540,Existing Customer
930,Existing Customer
0,Existing Customer
618,Existing Customer
1954,Existing Customer
1024,Existing Customer
2071,Existing Customer
1570,Existing Customer
1761,Existing Customer
746,Existing Customer
2173,Existing Customer
2517,Attrited Customer
0,Existing Customer
893,Existing Customer
1260,Existing Customer
1434,Existing Customer
1777,Existing Customer
1836,Existing Customer
2517,Existing Customer
1072,Existing Customer
985,Existing Customer
2248,Existing Customer
2107,Existing Customer
2001,Existing Customer
1701,Existing Customer
1251,Existing Customer
462,Existing Customer
738,Existing Customer
1626,Existing Customer
1976,Existing Customer
1594,Existing Customer
1676,Existing Customer
1598,Existing Customer
799,Existing Customer
1423,Existing Customer
900,Attrited Customer
1687,Existing Customer
2006,Existing Customer
1632,Existing Customer
1679,Existing Customer
1468,Existing Customer
1580,Existing Customer
0,Attrited Customer
0,Attrited Customer
