"Total_Trans_Ct","Attrition_Flag"
42,Existing Customer
33,Existing Customer
20,Existing Customer
28,Existing Customer
24,Existing Customer
24,Existing Customer
32,Existing Customer
17,Existing Customer
29,Existing Customer
27,Existing Customer
30,Existing Customer
27,Existing Customer
16,Attrited Customer
18,Existing Customer
22,Existing Customer
38,Existing Customer
26,Existing Customer
24,Existing Customer
28,Existing Customer
24,Existing Customer
43,Existing Customer
37,Existing Customer
22,Existing Customer
28,Existing Customer
33,Existing Customer
32,Existing Customer
28,Existing Customer
27,Existing Customer
27,Existing Customer
27,Existing Customer
40,Existing Customer
19,Attrited Customer
38,Existing Customer
15,Attrited Customer
40,Existing Customer
29,Existing Customer
27,Existing Customer
15,Attrited Customer
28,Existing Customer
26,Existing Customer
23,Existing Customer
32,Existing Customer
35,Existing Customer
28,Existing Customer
17,Existing Customer
15,Existing Customer
41,Existing Customer
36,Existing Customer
35,Existing Customer
24,Existing Customer
33,Existing Customer
23,Existing Customer
57,Existing Customer
23,Existing Customer
35,Existing Customer
41,Existing Customer
27,Existing Customer
35,Existing Customer
31,Existing Customer
32,Existing Customer
14,Existing Customer
21,Existing Customer
35,Existing Customer
34,Existing Customer
29,Existing Customer
32,Existing Customer
30,Existing Customer
42,Existing Customer
19,Existing Customer
33,Existing Customer
15,Existing Customer
37,Existing Customer
21,Existing Customer
30,Existing Customer
32,Existing Customer
35,Existing Customer
24,Existing Customer
37,Existing Customer
18,Existing Customer
25,Existing Customer
24,Existing Customer
38,Existing Customer
13,Existing Customer
29,Existing Customer
38,Existing Customer
47,Existing Customer
42,Existing Customer
24,Existing Customer
30,Existing Customer
23,Attrited Customer
29,Existing Customer
16,Existing Customer
28,Existing Customer
34,Existing Customer
32,Existing Customer
27,Existing Customer
26,Existing Customer
42,Existing Customer
19,Existing Customer
18,Attrited Customer
25,Existing Customer
20,Existing Customer
10,Attrited Customer
16,Attrited Customer
31,Existing Customer
34,Existing Customer
39,Existing Customer
22,Existing Customer
22,Existing Customer
29,Existing Customer
26,Existing Customer
29,Existing Customer
27,Existing Customer
29,Existing Customer
28,Existing Customer
38,Existing Customer
28,Existing Customer
30,Existing Customer
29,Existing Customer
23,Existing Customer
17,Attrited Customer
53,Existing Customer
28,Existing Customer
34,Existing Customer
34,Existing Customer
28,Existing Customer
47,Existing Customer
32,Existing Customer
22,Existing Customer
28,Existing Customer
18,Existing Customer
24,Existing Customer
36,Existing Customer
25,Existing Customer
50,Existing Customer
33,Existing Customer
33,Existing Customer
28,Existing Customer
24,Existing Customer
37,Existing Customer
52,Existing Customer
42,Existing Customer
22,Existing Customer
42,Existing Customer
21,Attrited Customer
22,Existing Customer
27,Existing Customer
41,Existing Customer
27,Existing Customer
32,Existing Customer
27,Existing Customer
27,Attrited Customer
24,Attrited Customer
37,Existing Customer
48,Existing Customer
26,Existing Customer
40,Existing Customer
37,Existing Customer
21,Existing Customer
24,Existing Customer
32,Existing Customer
33,Existing Customer
25,Existing Customer
22,Existing Customer
24,Existing Customer
20,Existing Customer
29,Existing Customer
24,Existing Customer
26,Existing Customer
38,Existing Customer
38,Existing Customer
18,Existing Customer
12,Attrited Customer
26,Existing Customer
50,Existing Customer
25,Existing Customer
27,Existing Customer
17,Attrited Customer
33,Existing Customer
25,Existing Customer
21,Attrited Customer
24,Attrited Customer
49,Existing Customer
33,Existing Customer
19,Attrited Customer
25,Existing Customer
35,Existing Customer
28,Existing Customer
34,Existing Customer
17,Attrited Customer
15,Existing Customer
26,Existing Customer
38,Existing Customer
28,Existing Customer
29,Existing Customer
23,Attrited Customer
23,Existing Customer
20,Existing Customer
18,Attrited Customer
18,Existing Customer
31,Existing Customer
32,Existing Customer
16,Existing Customer
32,Existing Customer
30,Existing Customer
18,Attrited Customer
33,Existing Customer
31,Existing Customer
22,Existing Customer
34,Existing Customer
21,Existing Customer
33,Existing Customer
41,Existing Customer
25,Attrited Customer
30,Existing Customer
27,Existing Customer
36,Existing Customer
37,Existing Customer
29,Existing Customer
41,Existing Customer
31,Existing Customer
26,Existing Customer
27,Existing Customer
30,Existing Customer
26,Existing Customer
32,Existing Customer
44,Existing Customer
40,Existing Customer
23,Existing Customer
37,Existing Customer
31,Existing Customer
28,Existing Customer
33,Existing Customer
29,Existing Customer
42,Existing Customer
11,Attrited Customer
27,Existing Customer
28,Existing Customer
33,Existing Customer
55,Existing Customer
13,Existing Customer
22,Existing Customer
23,Existing Customer
35,Existing Customer
49,Existing Customer
22,Existing Customer
16,Existing Customer
28,Existing Customer
46,Existing Customer
24,Existing Customer
38,Existing Customer
32,Existing Customer
29,Existing Customer
32,Existing Customer
38,Existing Customer
43,Existing Customer
25,Existing Customer
22,Existing Customer
13,Attrited Customer
49,Existing Customer
31,Existing Customer
34,Existing Customer
32,Existing Customer
38,Existing Customer
34,Existing Customer
32,Existing Customer
32,Existing Customer
29,Existing Customer
39,Existing Customer
38,Existing Customer
22,Existing Customer
39,Existing Customer
34,Existing Customer
32,Existing Customer
41,Existing Customer
31,Existing Customer
47,Existing Customer
22,Existing Customer
27,Existing Customer
15,Existing Customer
31,Existing Customer
31,Existing Customer
25,Existing Customer
27,Existing Customer
30,Existing Customer
35,Existing Customer
39,Existing Customer
24,Existing Customer
32,Existing Customer
28,Existing Customer
28,Existing Customer
29,Existing Customer
37,Existing Customer
23,Existing Customer
37,Existing Customer
34,Existing Customer
25,Existing Customer
37,Existing Customer
26,Existing Customer
53,Existing Customer
29,Existing Customer
57,Existing Customer
38,Existing Customer
38,Existing Customer
27,Existing Customer
39,Existing Customer
17,Attrited Customer
32,Existing Customer
28,Existing Customer
37,Existing Customer
18,Attrited Customer
25,Existing Customer
44,Existing Customer
38,Existing Customer
35,Existing Customer
24,Existing Customer
33,Existing Customer
26,Existing Customer
36,Attrited Customer
25,Existing Customer
20,Attrited Customer
42,Existing Customer
43,Existing Customer
22,Existing Customer
16,Existing Customer
11,Existing Customer
20,Attrited Customer
21,Existing Customer
24,Existing Customer
41,Existing Customer
34,Existing Customer
38,Existing Customer
36,Existing Customer
44,Existing Customer
39,Existing Customer
45,Existing Customer
35,Existing Customer
49,Existing Customer
37,Existing Customer
19,Attrited Customer
25,Attrited Customer
30,Existing Customer
21,Existing Customer
21,Attrited Customer
39,Existing Customer
20,Attrited Customer
42,Existing Customer
25,Existing Customer
31,Existing Customer
50,Existing Customer
36,Existing Customer
42,Existing Customer
24,Existing Customer
30,Existing Customer
31,Attrited Customer
32,Existing Customer
60,Existing Customer
33,Existing Customer
14,Attrited Customer
54,Existing Customer
25,Attrited Customer
42,Existing Customer
26,Existing Customer
35,Existing Customer
51,Existing Customer
32,Existing Customer
33,Existing Customer
25,Existing Customer
24,Existing Customer
33,Existing Customer
38,Existing Customer
39,Existing Customer
32,Existing Customer
23,Existing Customer
19,Existing Customer
32,Existing Customer
51,Existing Customer
53,Existing Customer
48,Existing Customer
36,Existing Customer
39,Existing Customer
33,Existing Customer
39,Existing Customer
31,Existing Customer
27,Existing Customer
44,Existing Customer
63,Existing Customer
25,Existing Customer
41,Existing Customer
28,Existing Customer
47,Existing Customer
28,Existing Customer
37,Existing Customer
29,Existing Customer
45,Existing Customer
33,Existing Customer
40,Existing Customer
14,Attrited Customer
31,Existing Customer
37,Existing Customer
32,Existing Customer
40,Existing Customer
55,Existing Customer
32,Existing Customer
37,Existing Customer
37,Existing Customer
38,Existing Customer
29,Existing Customer
27,Attrited Customer
28,Existing Customer
37,Existing Customer
36,Existing Customer
46,Existing Customer
53,Existing Customer
27,Existing Customer
35,Existing Customer
50,Existing Customer
28,Attrited Customer
18,Attrited Customer
50,Existing Customer
39,Existing Customer
39,Existing Customer
37,Existing Customer
16,Attrited Customer
54,Existing Customer
53,Existing Customer
37,Existing Customer
48,Existing Customer
17,Attrited Customer
44,Existing Customer
36,Existing Customer
29,Existing Customer
45,Existing Customer
58,Existing Customer
29,Existing Customer
24,Existing Customer
38,Existing Customer
58,Existing Customer
26,Existing Customer
44,Existing Customer
17,Attrited Customer
18,Attrited Customer
45,Existing Customer
25,Existing Customer
40,Existing Customer
50,Existing Customer
43,Existing Customer
38,Existing Customer
45,Existing Customer
30,Existing Customer
37,Existing Customer
21,Attrited Customer
18,Attrited Customer
54,Existing Customer
15,Attrited Customer
50,Existing Customer
45,Existing Customer
45,Existing Customer
35,Existing Customer
17,Attrited Customer
29,Existing Customer
46,Existing Customer
37,Existing Customer
31,Existing Customer
43,Existing Customer
34,Existing Customer
37,Existing Customer
58,Existing Customer
36,Existing Customer
57,Existing Customer
37,Existing Customer
36,Existing Customer
30,Existing Customer
45,Existing Customer
24,Attrited Customer
61,Existing Customer
25,Attrited Customer
26,Existing Customer
32,Existing Customer
41,Existing Customer
26,Existing Customer
46,Existing Customer
55,Existing Customer
27,Existing Customer
45,Existing Customer
31,Existing Customer
47,Attrited Customer
57,Existing Customer
41,Existing Customer
25,Existing Customer
31,Existing Customer
45,Existing Customer
40,Existing Customer
15,Attrited Customer
64,Existing Customer
31,Existing Customer
10,Attrited Customer
35,Existing Customer
63,Existing Customer
48,Existing Customer
25,Existing Customer
17,Attrited Customer
49,Existing Customer
43,Existing Customer
38,Existing Customer
41,Existing Customer
28,Existing Customer
38,Existing Customer
33,Existing Customer
30,Existing Customer
37,Existing Customer
27,Existing Customer
26,Existing Customer
40,Existing Customer
30,Existing Customer
24,Attrited Customer
18,Existing Customer
34,Existing Customer
34,Existing Customer
25,Existing Customer
33,Existing Customer
34,Existing Customer
30,Existing Customer
35,Existing Customer
26,Existing Customer
35,Existing Customer
32,Existing Customer
15,Attrited Customer
38,Existing Customer
20,Attrited Customer
64,Existing Customer
47,Existing Customer
20,Existing Customer
57,Existing Customer
40,Existing Customer
53,Existing Customer
59,Existing Customer
38,Existing Customer
61,Existing Customer
41,Existing Customer
32,Existing Customer
35,Existing Customer
27,Existing Customer
26,Existing Customer
46,Existing Customer
39,Existing Customer
36,Existing Customer
65,Existing Customer
45,Existing Customer
22,Existing Customer
43,Existing Customer
32,Existing Customer
38,Existing Customer
50,Existing Customer
49,Existing Customer
47,Existing Customer
48,Existing Customer
40,Existing Customer
32,Existing Customer
27,Attrited Customer
49,Existing Customer
47,Existing Customer
36,Existing Customer
25,Existing Customer
39,Existing Customer
35,Existing Customer
62,Existing Customer
67,Existing Customer
45,Existing Customer
30,Existing Customer
35,Existing Customer
61,Existing Customer
15,Attrited Customer
66,Existing Customer
29,Attrited Customer
49,Existing Customer
26,Existing Customer
31,Existing Customer
25,Attrited Customer
47,Existing Customer
37,Existing Customer
48,Existing Customer
56,Existing Customer
23,Existing Customer
35,Existing Customer
34,Existing Customer
39,Existing Customer
35,Existing Customer
47,Existing Customer
58,Existing Customer
65,Existing Customer
56,Existing Customer
19,Attrited Customer
39,Existing Customer
