"Total_Ct_Chng_Q4_Q1","Attrition_Flag"
1.625,Existing Customer
3.714,Existing Customer
2.333,Existing Customer
2.5,Existing Customer
0.846,Existing Customer
1.182,Existing Customer
0.882,Existing Customer
3.25,Existing Customer
0.611,Existing Customer
0.929,Existing Customer
1.143,Existing Customer
0.929,Existing Customer
0.6,Attrited Customer
1.571,Existing Customer
0.833,Existing Customer
0.9,Existing Customer
1.6,Existing Customer
1.667,Existing Customer
1.0,Existing Customer
0.714,Existing Customer
0.483,Existing Customer
1.176,Existing Customer
1.2,Existing Customer
0.474,Existing Customer
1.2,Existing Customer
1.0,Existing Customer
1.333,Existing Customer
0.588,Existing Customer
1.7,Existing Customer
0.8,Existing Customer
0.6,Existing Customer
0.9,Attrited Customer
1.923,Existing Customer
0.364,Attrited Customer
0.6,Existing Customer
1.417,Existing Customer
1.25,Existing Customer
0.5,Attrited Customer
1.154,Existing Customer
0.733,Existing Customer
0.917,Existing Customer
0.6,Existing Customer
0.667,Existing Customer
0.556,Existing Customer
2.4,Existing Customer
2.0,Existing Customer
1.05,Existing Customer
0.286,Existing Customer
0.522,Existing Customer
1.182,Existing Customer
0.435,Existing Customer
1.875,Existing Customer
0.966,Existing Customer
0.353,Existing Customer
0.4,Existing Customer
1.412,Existing Customer
2.0,Existing Customer
0.667,Existing Customer
0.722,Existing Customer
0.6,Existing Customer
1.8,Existing Customer
1.333,Existing Customer
2.182,Existing Customer
0.619,Existing Customer
0.933,Existing Customer
0.882,Existing Customer
0.304,Existing Customer
0.68,Existing Customer
0.727,Existing Customer
0.5,Existing Customer
1.5,Existing Customer
0.542,Existing Customer
1.1,Existing Customer
0.667,Existing Customer
0.391,Existing Customer
0.346,Existing Customer
3.0,Existing Customer
1.056,Existing Customer
1.571,Existing Customer
0.786,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
0.625,Existing Customer
0.611,Existing Customer
1.533,Existing Customer
0.382,Existing Customer
0.355,Existing Customer
0.846,Existing Customer
0.364,Existing Customer
0.353,Attrited Customer
1.417,Existing Customer
0.778,Existing Customer
1.545,Existing Customer
0.7,Existing Customer
1.0,Existing Customer
0.929,Existing Customer
0.733,Existing Customer
1.211,Existing Customer
0.727,Existing Customer
0.8,Attrited Customer
1.5,Existing Customer
0.667,Existing Customer
1.0,Attrited Customer
0.455,Attrited Customer
2.875,Existing Customer
1.0,Existing Customer
0.625,Existing Customer
0.467,Existing Customer
0.571,Existing Customer
1.231,Existing Customer
1.364,Existing Customer
0.812,Existing Customer
0.8,Existing Customer
0.706,Existing Customer
1.0,Existing Customer
2.167,Existing Customer
1.333,Existing Customer
0.429,Existing Customer
0.706,Existing Customer
2.286,Existing Customer
0.7,Attrited Customer
0.828,Existing Customer
0.75,Existing Customer
0.789,Existing Customer
0.478,Existing Customer
0.867,Existing Customer
0.88,Existing Customer
1.0,Existing Customer
1.444,Existing Customer
0.556,Existing Customer
0.8,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
1.273,Existing Customer
1.083,Existing Customer
0.941,Existing Customer
0.571,Existing Customer
0.867,Existing Customer
3.0,Existing Customer
0.762,Existing Customer
0.529,Existing Customer
0.556,Existing Customer
0.571,Existing Customer
0.75,Existing Customer
0.615,Attrited Customer
1.444,Existing Customer
0.8,Existing Customer
0.519,Existing Customer
0.5,Existing Customer
0.684,Existing Customer
0.8,Existing Customer
0.421,Attrited Customer
0.5,Attrited Customer
0.947,Existing Customer
0.714,Existing Customer
1.167,Existing Customer
1.105,Existing Customer
0.762,Existing Customer
1.333,Existing Customer
0.714,Existing Customer
0.455,Existing Customer
0.737,Existing Customer
1.273,Existing Customer
1.0,Existing Customer
0.714,Existing Customer
0.538,Existing Customer
1.071,Existing Customer
0.846,Existing Customer
0.625,Existing Customer
0.357,Existing Customer
0.407,Existing Customer
0.8,Existing Customer
0.714,Attrited Customer
1.0,Existing Customer
0.923,Existing Customer
0.923,Existing Customer
1.455,Existing Customer
0.7,Attrited Customer
0.941,Existing Customer
0.667,Existing Customer
0.615,Attrited Customer
0.6,Attrited Customer
0.69,Existing Customer
0.65,Existing Customer
0.727,Attrited Customer
0.923,Existing Customer
0.167,Existing Customer
0.647,Existing Customer
1.615,Existing Customer
0.545,Attrited Customer
0.875,Existing Customer
1.6,Existing Customer
0.462,Existing Customer
0.75,Existing Customer
0.611,Existing Customer
0.353,Attrited Customer
1.3,Existing Customer
0.538,Existing Customer
0.385,Attrited Customer
3.5,Existing Customer
1.067,Existing Customer
0.684,Existing Customer
1.286,Existing Customer
0.524,Existing Customer
1.143,Existing Customer
1.0,Attrited Customer
0.737,Existing Customer
1.214,Existing Customer
1.0,Existing Customer
2.4,Existing Customer
1.625,Existing Customer
1.538,Existing Customer
0.783,Existing Customer
0.786,Attrited Customer
0.765,Existing Customer
0.588,Existing Customer
1.118,Existing Customer
2.083,Existing Customer
1.417,Existing Customer
0.783,Existing Customer
0.632,Existing Customer
0.368,Existing Customer
2.0,Existing Customer
1.308,Existing Customer
0.444,Existing Customer
0.455,Existing Customer
0.76,Existing Customer
0.538,Existing Customer
0.438,Existing Customer
0.423,Existing Customer
2.1,Existing Customer
1.154,Existing Customer
1.2,Existing Customer
0.611,Existing Customer
1.0,Existing Customer
0.833,Attrited Customer
0.5,Existing Customer
0.647,Existing Customer
0.833,Existing Customer
0.719,Existing Customer
0.182,Existing Customer
1.75,Existing Customer
1.875,Existing Customer
0.944,Existing Customer
0.581,Existing Customer
1.444,Existing Customer
0.333,Existing Customer
1.0,Existing Customer
0.643,Existing Customer
